from,to,kommentar,tonalität,zeit,folge,thema
AFD,TC,1,1,238,2,10
AFD,TC,1,1,238,2,10
SL,TC,2,2,238,2,10
LINKE,TC,2,2,238,2,10
AFD,TC,1,1,238,2,10
UN,TC,2,2,238,2,10
AFD,TC,1,1,238,2,10
AK,TC,3,3,238,2,10
UN,TC,2,2,238,2,10
UN,TC,2,2,238,2,10
AFD,TC,1,1,238,2,10
SPD,TC,2,2,238,2,10
LINKE,TC,2,2,238,2,10
AK,TC,3,2,238,2,10
SPD,TC,2,2,238,2,10
AK,TC,3,2,238,2,10
AK,TC,3,2,238,2,10
AFD,TC,1,1,238,2,10
AD,TC,3,2,238,2,10
CDU,TC,2,2,238,2,10
AFD,TC,1,1,238,2,10
SPD,BB,1,1,238,2,10
HW,BB,2,2,238,2,10
AFD,BB,2,2,238,2,10
HW,BB,2,2,238,2,10
AK,BB,2,2,238,2,10
SPD,BB,1,1,238,2,10
HW,BB,2,2,238,2,10
GF,BB,2,2,238,2,10
SPD,BB,1,1,238,2,10
FDP,CAD,1,1,238,2,10
FDP,CAD,1,1,238,2,10
FDP,CAD,1,1,238,2,10
AK,CAD,2,2,238,2,10
FDP,CAD,1,1,238,2,10
FDP,CAD,1,1,238,2,10
FDP,CAD,1,1,238,2,10
FDP,CAD,1,1,238,2,10
AFD,CAD,1,1,238,2,10
FDP,CAD,1,1,238,2,10
SPD,CAD,2,2,238,2,10
FDP,CAD,1,1,238,2,10
LINKE,JK,1,1,238,2,10
LINKE,JK,1,1,238,2,10
FDP,JK,1,1,238,2,10
LINKE,JK,1,1,238,2,10
FDP,JK,1,1,238,2,10
LINKE,JK,1,1,238,2,10
LINKE,JK,1,1,238,2,10
JS,JK,4,3,238,2,10
LINKE,JK,1,1,238,2,10
FDP,JK,1,1,238,2,10
LINKE,JK,1,1,238,2,2
FDP,JK,1,1,238,2,2
LINKE,JK,1,1,238,2,2
LINKE,JK,1,1,238,2,2
MR,JK,1,1,238,2,2
LINKE,JK,1,1,238,2,2
FDP,JK,1,1,238,2,2
AW,JK,1,1,238,2,2
LINKE,JK,1,1,238,2,2
DD,JK,2,1,238,2,2
LINKE,JK,1,1,238,2,2
LINKE,JK,1,1,238,2,2
LINKE,JK,1,1,238,2,2
MG,JK,2,2,238,1,2
RLE,JK,2,2,238,1,2
LINKE,JK,1,1,238,2,2
SB,JK,2,3,238,2,2
AW,JK,2,3,238,2,2
AFD,JK,8,2,238,2,2
LINKE,JK,1,1,238,2,2
AW,JK,2,3,238,2,2
SB,JK,2,2,238,2,2
AW,JK,2,1,238,2,2
LINKE,JK,1,1,238,2,2
LINKE,JK,1,1,238,2,2
MG,DW,1,1,238,2,2
JML,DW,2,3,238,2,2
SPD,DW,1,1,238,2,2
MG,DW,1,1,238,2,2
LINKE,DW,2,3,238,2,2
LINKE,JK,1,1,238,2,2
CDU,JK,8,3,238,2,2
SB,JK,2,2,238,2,2
MG,JK,2,3,238,2,2
LINKE,JK,1,1,238,2,2
GK,JK,2,2,238,2,2
DW,JK,6,3,238,2,2
LINKE,JK,1,1,238,2,2
AK,JK,2,3,238,2,2
GK,JK,2,3,238,2,2
MG,JK,2,3,238,2,2
AK,JK,2,3,238,2,2
LINKE,JK,1,1,238,2,2
GRUENE,JK,1,1,238,2,2
CDU,WS,1,1,238,2,2
FDP,WS,1,1,238,2,2
LINKE,JK,1,1,238,2,2
HB,JK,1,1,238,2,2
AK,JK,2,2,238,2,2
LINKE,JK,1,1,238,2,2
LINKE,JK,1,1,238,2,2
GRUENE,JK,1,1,238,2,2
LINKE,JK,1,1,238,2,2
LINKE,JK,1,1,238,2,2
DA,JK,1,1,238,2,2
LINKE,JK,1,1,238,2,2
KV,JK,1,1,238,2,2
LINKE,JK,1,1,238,2,2
GK,JK,2,3,238,2,2
GRUENE,WS,1,1,238,2,2
GRUENE,MR,1,1,238,2,2
CDU,MR,1,1,238,2,2
GRUENE,MR,1,1,238,2,2
AU,MR,1,1,238,2,2
AK,MR,2,3,238,2,2
GRUENE,MR,1,1,238,2,2
GK,MR,2,3,238,2,2
GK,MR,2,3,238,2,2
GRUENE,MR,1,1,238,2,2
JML,MR,2,3,238,2,2
GRUENE,MR,1,1,238,2,2
LINKE,MR,1,1,238,2,2
PS,MR,2,3,238,2,2
GRUENE,MR,1,1,238,2,2
AK,MR,2,3,238,2,2
GRUENE,MR,1,1,238,2,2
JK,MR,2,1,238,2,2
GRUENE,MR,1,1,238,2,2
LINKE,MR,1,1,238,2,2
CDU,WS,1,1,238,2,2
CDU,JS,1,1,238,2,10
SPD,JS,1,1,238,2,10
CAD,JS,1,1,238,2,10
CDU,JS,8,1,238,2,10
SB,JS,2,2,238,2,10
CDU,JS,1,1,238,2,10
SPD,JS,1,1,238,2,10
FDP,JS,1,1,238,2,10
DB,JS,1,1,238,2,10
CDU,JS,1,1,238,2,10
SPD,JS,1,1,238,2,10
FDP,JS,1,1,238,2,10
GRUENE,JS,1,1,238,2,10
LINKE,JS,1,1,238,2,10
TC,JS,2,2,238,2,10
SB,JS,2,3,238,2,10
